Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead,PSNR(dB),SSIM,Cbleed,Ringing,Blurring,VIF,Compression Ratio (%)
referee,LJG2SSI5,576,0,4,0,1.4,1.3,4,5,250,33.030323835752526,0.8932426708936692,90.48892402102628,21.726893289568235,6.863601965985975,6.011585128922321,86.54542248101583
referee,94R4311D,5184,0,4,0,1.4,1.3,4,5,250,36.3599962223478,0.963335377573967,90.00861429036456,18.643261444489823,4.215781646311989,5.89919026250643,79.19741675550232
referee,S9JI22OZ,14016,0,4,0,1.4,1.3,4,5,250,37.09621474550917,0.9747561779618265,85.74842852044755,13.855677960802582,3.972281783431732,5.79552170942644,76.3703354178762
referee,P6NMN9UK,20000,0,4,0,1.4,1.3,4,5,250,37.3864322581826,0.9771463096141816,83.99096964819637,11.88376848533158,3.939907826941489,5.716444892939812,75.6758024362825
referee,UKB5R69R,576,12,4,0,1.4,1.3,4,5,0,32.942600181720955,0.888497918844223,92.4749703281732,21.6218377497784,8.299609377532576,5.992009058320473,87.75953096047101
referee,5CE0ZEIF,5184,12,4,0,1.4,1.3,4,5,0,36.331383769018544,0.9625822153687476,90.1420360182774,19.53504477531809,4.271195734524522,5.919271225565844,79.357406237447
referee,K14Y4762,14016,12,4,0,1.4,1.3,4,5,0,37.03409240299463,0.9744112399220468,86.08958939766589,15.08123574504346,3.985342179730624,5.837799513728138,76.37813546610504
referee,BSGTKIG0,20000,12,4,0,1.4,1.3,4,5,0,37.32770397811928,0.9770394426584244,84.23246594810955,13.114285113913295,3.945091417384664,5.773364192708336,75.54389692052959
referee,9EL95FLW,576,12,4,0,1.4,1.3,4,5,10,33.149591038221786,0.8940763026475906,91.02920029055753,21.774195379846056,6.84690203883362,6.016734228716564,86.57591472790064
referee,7KZGSS7H,5184,12,4,0,1.4,1.3,4,5,10,36.37281275999646,0.9638120687007904,89.92063441237462,18.762783690142403,4.211621639669939,5.905578438464506,79.08495447180115
referee,ED8YRNFW,14016,12,4,0,1.4,1.3,4,5,10,37.09573412518011,0.9747482565045356,85.7629743694541,14.011210344887443,3.97493530713762,5.798506267682613,76.38331864239971
referee,O3P6NQ8D,20000,12,4,0,1.4,1.3,4,5,10,37.38368484775723,0.977141085267067,84.0524896677276,12.083123000897755,3.94132836472409,5.724243933256173,75.66247155969043
referee,S2VULBFN,576,12,4,0,1.4,1.3,4,5,40,32.999206708016445,0.8932437327504158,93.3031174057196,21.76362557997209,6.781082467691103,6.019207244245109,86.42394652731929
referee,LAMMZE92,5184,12,4,0,1.4,1.3,4,5,40,36.36345682119694,0.963474433720112,89.94380381100498,18.6402931176649,4.210755574334895,5.899945162197788,79.16980053936638
referee,28RNWVYT,14016,12,4,0,1.4,1.3,4,5,40,37.09026455498263,0.9746714574098588,85.7948929735725,13.86432259166923,3.973186332140194,5.794342329764661,76.40942415227413
referee,MO3FIQOJ,20000,12,4,0,1.4,1.3,4,5,40,37.381932272202704,0.9770882543921472,84.07208074122296,11.89954206758061,3.940754080234511,5.715190493184156,75.70120632107312
referee,96L020C5,576,12,4,0,1.4,1.3,4,5,250,33.0234991361187,0.8932569801807404,90.9946860906154,21.73972754403292,6.855752032120956,6.012512379436731,86.5589493069556
referee,FX1ZHFV9,5184,12,4,0,1.4,1.3,4,5,250,36.35941277759622,0.9633408871293068,89.91209939477233,18.656382230384324,4.216620758745646,5.900046588059419,79.19029936951716
referee,OW00430B,14016,12,4,0,1.4,1.3,4,5,250,37.0927006070048,0.9747185638546944,85.76960727719909,13.880256764863791,3.972267275368701,5.796635534818672,76.37046183681024
referee,IAU0P40N,20000,12,4,0,1.4,1.3,4,5,250,37.38750540638761,0.977149692773819,84.01175480926891,11.879560901264588,3.939931491413493,5.71672879774306,75.668925246272
referee,6NKCCPPN,576,37,4,0,1.4,1.3,4,5,0,32.93585632897013,0.8883303284645081,93.61014409963346,21.64103557095958,8.319528686112397,5.991311540316355,87.84462354495757
referee,P3MDYZV1,5184,37,4,0,1.4,1.3,4,5,0,36.32643129209816,0.9625295183062552,90.12009158106676,19.5579942915002,4.2715124749822655,5.918899487204219,79.38193151064621
referee,Z7IUEKIJ,14016,37,4,0,1.4,1.3,4,5,0,37.033776136984926,0.9743996348977088,86.12211916473767,15.073589521317722,3.985064070040341,5.837462131076392,76.38645383196332
referee,LX3O74QR,20000,37,4,0,1.4,1.3,4,5,0,37.32569827783476,0.9770182257890702,84.26811925033762,13.13015108578904,3.9462033315065073,5.774324509709361,75.549339255639
referee,IZR49UPQ,576,37,4,0,1.4,1.3,4,5,10,33.14259783477434,0.8941296976804733,89.54374024884262,21.803026881947147,6.807322506894447,6.019319251543214,86.39542641580515
referee,PDCOXZLX,5184,37,4,0,1.4,1.3,4,5,10,36.37129292627562,0.963819252550602,89.89957529055746,18.737118488148933,4.210978591590443,5.90468785927855,79.07986610970698
referee,A4DKFFJ4,14016,37,4,0,1.4,1.3,4,5,10,37.09470786340697,0.974735514819622,85.75098100646221,14.032497148776232,3.9739870541877247,5.799938707240224,76.37946918585891
referee,2PCX44SF,20000,37,4,0,1.4,1.3,4,5,10,37.38350120547106,0.9771210253238678,84.08273650896986,12.04457546019064,3.941190161237795,5.721293638278037,75.67657359178
referee,ZQASUJTT,576,37,4,0,1.4,1.3,4,5,40,32.99051364824404,0.8932536920905113,92.6855307556905,21.7330638564225,6.812103318338704,6.019922473797582,86.44673986112248
referee,FRQY7B50,5184,37,4,0,1.4,1.3,4,5,40,36.36374377741273,0.963456392288208,89.94505198206014,18.641631241461607,4.211383206405597,5.899235859535751,79.17591921577278
referee,HVYY8UDC,14016,37,4,0,1.4,1.3,4,5,40,37.08739674360348,0.9746414932608604,85.8315997492284,13.90260311327823,3.973853631647235,5.795323774273404,76.40931669618021
referee,ZX9LO9AS,20000,37,4,0,1.4,1.3,4,5,40,37.38101179100608,0.9770828342437744,84.0800406744309,11.891182481417475,3.940605725123997,5.714970986046813,75.70589014257845
referee,GQD701W1,576,37,4,0,1.4,1.3,4,5,250,33.01275968978113,0.893328198492527,90.6268864571277,21.71843275337647,6.857483733962088,6.010110452835651,86.5681020377784
referee,ET2VDX8B,5184,37,4,0,1.4,1.3,4,5,250,36.35443794975805,0.963264147937298,90.01297120587382,18.678777109806028,4.218541269783731,5.900079081468622,79.20533058077174
referee,Q6O1LHF8,14016,37,4,0,1.4,1.3,4,5,250,37.09271997643958,0.974723334312439,85.75717714723189,13.873426204408885,3.972807339253822,5.79610089216821,76.37707986800599
referee,LHPVNUAD,20000,37,4,0,1.4,1.3,4,5,250,37.38286863890417,0.9771234178543092,84.02576883680557,11.893879304683052,3.940655663287923,5.71762262651106,75.67687699722163
referee,LPM68A5A,576,50,4,0,1.4,1.3,4,5,0,32.97370845729216,0.888176636993885,93.1495213276427,21.665393316762252,8.293858343258023,5.995206779674639,87.76867104940041
referee,RJ48QF7W,5184,50,4,0,1.4,1.3,4,5,0,36.32948992332546,0.9625669732689858,90.09252712794174,19.55706663655096,4.2701375629124,5.919684384645061,79.36183090013758
referee,J6MQHXK9,14016,50,4,0,1.4,1.3,4,5,0,37.036715937535135,0.9744415745139122,86.08869123384454,15.063055767596827,3.98504701863722,5.836906612493568,76.3680725189573
referee,CH8U4KFV,20000,50,4,0,1.4,1.3,4,5,0,37.32637553721524,0.977025985121727,84.26700010971264,13.108475996338498,3.9449335302438016,5.773354608731998,75.55511660092355
referee,FG2N26ZF,576,50,4,0,1.4,1.3,4,5,10,33.137726606046826,0.8940101805329322,91.00833407238616,21.74836827858033,6.850562575209206,6.016635428722995,86.46439426525791
