Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead
ant,6X9XX6TT,3072,21,4,4,1.4,1.3,8,5,250
ant,W6KSV89S,3072,21,4,4,1.4,1.3,12,5,0
ant,RTSAT255,3072,21,4,4,1.4,1.3,12,5,62
ant,G3DXTW0A,3072,21,4,4,1.4,1.3,12,5,125
ant,R5EXEVVA,3072,21,4,4,1.4,1.3,12,5,187
ant,21PB3KZ7,3072,21,4,4,1.4,1.3,12,5,250
ant,311QCSHB,3072,21,4,4,1.4,1.3,16,5,0
ant,952H6IM3,3072,21,4,4,1.4,1.3,16,5,62
ant,SFI3G59I,3072,21,4,4,1.4,1.3,16,5,125
ant,B7UFKRPS,3072,21,4,4,1.4,1.3,16,5,187
ant,VYJWCTT9,3072,21,4,4,1.4,1.3,16,5,250
ant,8K8VC95A,3072,21,4,8,1.4,1.3,1,5,0
ant,AULFD0MF,3072,21,4,8,1.4,1.3,1,5,62
ant,27GUN886,3072,21,4,8,1.4,1.3,1,5,125
ant,2947BIME,3072,21,4,8,1.4,1.3,1,5,187
ant,YQ2HME2Q,3072,21,4,8,1.4,1.3,1,5,250
ant,MS6EHOPB,3072,21,4,8,1.4,1.3,4,5,0
ant,FGX1WORZ,3072,21,4,8,1.4,1.3,4,5,62
ant,ZIA2DOJZ,3072,21,4,8,1.4,1.3,4,5,125
ant,V5WURPX0,3072,21,4,8,1.4,1.3,4,5,187
ant,2MQMF3ZN,3072,21,4,8,1.4,1.3,4,5,250
ant,Z5GDQ512,3072,21,4,8,1.4,1.3,8,5,0
ant,NB3KWH4C,3072,21,4,8,1.4,1.3,8,5,62
ant,45RO6QHN,3072,21,4,8,1.4,1.3,8,5,125
ant,6ZROV3ML,3072,21,4,8,1.4,1.3,8,5,187
ant,XMSZGNJ2,3072,21,4,8,1.4,1.3,8,5,250
ant,YT9Q1D8L,3072,21,4,8,1.4,1.3,12,5,0
ant,73R2FL0M,3072,21,4,8,1.4,1.3,12,5,62
ant,I70F3BO5,3072,21,4,8,1.4,1.3,12,5,125
ant,VTIDK2RH,3072,21,4,8,1.4,1.3,12,5,187
ant,DT74NH3E,3072,21,4,8,1.4,1.3,12,5,250
ant,LWXPST86,3072,21,4,8,1.4,1.3,16,5,0
ant,RNGJ8MSR,3072,21,4,8,1.4,1.3,16,5,62
ant,M3HMA77J,3072,21,4,8,1.4,1.3,16,5,125
ant,35NY1452,3072,21,4,8,1.4,1.3,16,5,187
ant,WV7RYO36,3072,21,4,8,1.4,1.3,16,5,250
ant,VMK9N8SY,3072,21,4,12,1.4,1.3,1,5,0
ant,X4YEPDFI,3072,21,4,12,1.4,1.3,1,5,62
ant,5HPZSFVH,3072,21,4,12,1.4,1.3,1,5,125
ant,5E0QEO98,3072,21,4,12,1.4,1.3,1,5,187
ant,Y681NMI1,3072,21,4,12,1.4,1.3,1,5,250
ant,JSX7XJL5,3072,21,4,12,1.4,1.3,4,5,0
ant,4FWPDF0V,3072,21,4,12,1.4,1.3,4,5,62
ant,TK5K7YUN,3072,21,4,12,1.4,1.3,4,5,125
ant,3RFVLG8Q,3072,21,4,12,1.4,1.3,4,5,187
ant,ELGEIWUJ,3072,21,4,12,1.4,1.3,4,5,250
ant,R3IG4AZD,3072,21,4,12,1.4,1.3,8,5,0
ant,99FF6E8I,3072,21,4,12,1.4,1.3,8,5,62
ant,A533FTMQ,3072,21,4,12,1.4,1.3,8,5,125
ant,L1YWZRTK,3072,21,4,12,1.4,1.3,8,5,187
ant,SI00HKWW,3072,21,4,12,1.4,1.3,8,5,250
ant,A93Z0NRD,3072,21,4,12,1.4,1.3,12,5,0
ant,VKEH5CNQ,3072,21,4,12,1.4,1.3,12,5,62
ant,4YI1KMLW,3072,21,4,12,1.4,1.3,12,5,125
ant,GEWOESJ5,3072,21,4,12,1.4,1.3,12,5,187
ant,NBM7202R,3072,21,4,12,1.4,1.3,12,5,250
ant,520JB6FC,3072,21,4,12,1.4,1.3,16,5,0
ant,XGI3E7EE,3072,21,4,12,1.4,1.3,16,5,62
ant,TW3A4O2G,3072,21,4,12,1.4,1.3,16,5,125
ant,NYYTVCHR,3072,21,4,12,1.4,1.3,16,5,187
ant,G7Q6ZTTO,3072,21,4,12,1.4,1.3,16,5,250
ant,TTEO65HT,3072,21,4,16,1.4,1.3,1,5,0
ant,OUEVLCBS,3072,21,4,16,1.4,1.3,1,5,62
ant,GH10BEP7,3072,21,4,16,1.4,1.3,1,5,125
ant,E2OLP9RL,3072,21,4,16,1.4,1.3,1,5,187
ant,SG6NWTIP,3072,21,4,16,1.4,1.3,1,5,250
ant,YYAVG5DR,3072,21,4,16,1.4,1.3,4,5,0
ant,BN5TVDC3,3072,21,4,16,1.4,1.3,4,5,62
ant,ZCNNCDV3,3072,21,4,16,1.4,1.3,4,5,125
ant,VAU66JMH,3072,21,4,16,1.4,1.3,4,5,187
ant,SRESDDXE,3072,21,4,16,1.4,1.3,4,5,250
ant,IAGFVXO4,3072,21,4,16,1.4,1.3,8,5,0
ant,MOK8DVTH,3072,21,4,16,1.4,1.3,8,5,62
ant,7A6M4I6J,3072,21,4,16,1.4,1.3,8,5,125
ant,SJ6ZJMAD,3072,21,4,16,1.4,1.3,8,5,187
ant,45AMMMRU,3072,21,4,16,1.4,1.3,8,5,250
ant,D63I7SNT,3072,21,4,16,1.4,1.3,12,5,0
ant,181EDOF9,3072,21,4,16,1.4,1.3,12,5,62
ant,X28NT9BB,3072,21,4,16,1.4,1.3,12,5,125
ant,A1ZTAT3X,3072,21,4,16,1.4,1.3,12,5,187
ant,94ILCD16,3072,21,4,16,1.4,1.3,12,5,250
ant,0HOCC23J,3072,21,4,16,1.4,1.3,16,5,0
ant,RLZWU35I,3072,21,4,16,1.4,1.3,16,5,62
ant,B1CSRLAG,3072,21,4,16,1.4,1.3,16,5,125
ant,5YCDCNSG,3072,21,4,16,1.4,1.3,16,5,187
ant,EQIV7C59,3072,21,4,16,1.4,1.3,16,5,250
ant,AADI4MWJ,4992,21,4,0,1.4,1.3,1,5,0
ant,D419AFW0,4992,21,4,0,1.4,1.3,1,5,62
ant,08VBQ6QC,4992,21,4,0,1.4,1.3,1,5,125
ant,KX5AE3BX,4992,21,4,0,1.4,1.3,1,5,187
ant,P8XBKE9F,4992,21,4,0,1.4,1.3,1,5,250
ant,LCC4D11N,4992,21,4,0,1.4,1.3,4,5,0
ant,ZFVTGJDY,4992,21,4,0,1.4,1.3,4,5,62
ant,2JCRZLJK,4992,21,4,0,1.4,1.3,4,5,125
ant,BQWNTMSH,4992,21,4,0,1.4,1.3,4,5,187
ant,AC7ZSDMX,4992,21,4,0,1.4,1.3,4,5,250
ant,HX2S8YVU,4992,21,4,0,1.4,1.3,8,5,0
ant,QG96JQQL,4992,21,4,0,1.4,1.3,8,5,62
ant,9J0TBCXZ,4992,21,4,0,1.4,1.3,8,5,125
ant,B18BPW4V,4992,21,4,0,1.4,1.3,8,5,187
ant,WA4RHGIY,4992,21,4,0,1.4,1.3,8,5,250
ant,PY8BRFBA,4992,21,4,0,1.4,1.3,12,5,0
ant,K9PZ8W4B,4992,21,4,0,1.4,1.3,12,5,62
ant,2ZH3MTNK,4992,21,4,0,1.4,1.3,12,5,125
ant,E4SC6MEA,4992,21,4,0,1.4,1.3,12,5,187
ant,RXMD4VMH,4992,21,4,0,1.4,1.3,12,5,250
ant,BZC13JNP,4992,21,4,0,1.4,1.3,16,5,0
ant,BGNFV57S,4992,21,4,0,1.4,1.3,16,5,62
