Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead
referee,RAQXZ0TR,14016,12,4,4,1.4,1.3,4,5,0
referee,EDEQM7PF,20000,12,4,4,1.4,1.3,4,5,0
referee,BYR3FPN9,576,12,4,4,1.4,1.3,4,5,10
referee,5URRJ14M,5184,12,4,4,1.4,1.3,4,5,10
referee,X533YAAC,14016,12,4,4,1.4,1.3,4,5,10
referee,FBGG74QF,20000,12,4,4,1.4,1.3,4,5,10
referee,IRDRT5G5,576,12,4,4,1.4,1.3,4,5,40
referee,GUT0PCRZ,5184,12,4,4,1.4,1.3,4,5,40
referee,1MBIY6P7,14016,12,4,4,1.4,1.3,4,5,40
referee,4D9RSF01,20000,12,4,4,1.4,1.3,4,5,40
referee,IUO5Q8GQ,576,12,4,4,1.4,1.3,4,5,250
referee,FDUJWVLO,5184,12,4,4,1.4,1.3,4,5,250
referee,7Q9WCYQ9,14016,12,4,4,1.4,1.3,4,5,250
referee,IB2DNLHN,20000,12,4,4,1.4,1.3,4,5,250
referee,UFVC7SKW,576,37,4,4,1.4,1.3,4,5,0
referee,NK5MHXRN,5184,37,4,4,1.4,1.3,4,5,0
referee,A5H3S2X3,14016,37,4,4,1.4,1.3,4,5,0
referee,3N5TI82T,20000,37,4,4,1.4,1.3,4,5,0
referee,7A80O5E5,576,37,4,4,1.4,1.3,4,5,10
referee,BYD3O1HB,5184,37,4,4,1.4,1.3,4,5,10
referee,WAEN65EI,14016,37,4,4,1.4,1.3,4,5,10
referee,P8JZCPFV,20000,37,4,4,1.4,1.3,4,5,10
referee,NOEI7G33,576,37,4,4,1.4,1.3,4,5,40
referee,DNU088RM,5184,37,4,4,1.4,1.3,4,5,40
referee,S8ZB357W,14016,37,4,4,1.4,1.3,4,5,40
referee,TR1LJPM6,20000,37,4,4,1.4,1.3,4,5,40
referee,3V0KLGF5,576,37,4,4,1.4,1.3,4,5,250
