Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead
ant,PLTM6EMX,3072,21,4,16,1.4,1.3,4,5,125
ant,VNS7QWA8,3072,21,4,16,1.4,1.3,4,5,187
ant,WL2W4KZ5,3072,21,4,16,1.4,1.3,4,5,250
ant,16YCHV2G,3072,21,4,16,1.4,1.3,8,5,0
ant,HYNSKJ67,3072,21,4,16,1.4,1.3,8,5,62
ant,NKXWHZBG,3072,21,4,16,1.4,1.3,8,5,125
ant,9TKZN2UX,3072,21,4,16,1.4,1.3,8,5,187
ant,R9LN7UHC,3072,21,4,16,1.4,1.3,8,5,250
ant,ZE97KCA1,3072,21,4,16,1.4,1.3,12,5,0
ant,KG1Q58UJ,3072,21,4,16,1.4,1.3,12,5,62
ant,CHD5V43X,3072,21,4,16,1.4,1.3,12,5,125
ant,PDZNZ5UC,3072,21,4,16,1.4,1.3,12,5,187
ant,8LD7SFJI,3072,21,4,16,1.4,1.3,12,5,250
ant,WP2AG9LU,3072,21,4,16,1.4,1.3,16,5,0
ant,76WHZP20,3072,21,4,16,1.4,1.3,16,5,62
ant,BEK8SKCA,3072,21,4,16,1.4,1.3,16,5,125
ant,6XMNQGQ5,3072,21,4,16,1.4,1.3,16,5,187
ant,MZETJ213,3072,21,4,16,1.4,1.3,16,5,250
ant,5JDT6LMP,4992,21,4,0,1.4,1.3,1,5,0
ant,8RVI3XY4,4992,21,4,0,1.4,1.3,1,5,62
ant,SC0K1B2K,4992,21,4,0,1.4,1.3,1,5,125
ant,OY0W0KZ9,4992,21,4,0,1.4,1.3,1,5,187
ant,WMS2GY2E,4992,21,4,0,1.4,1.3,1,5,250
ant,BLDUGZM8,4992,21,4,0,1.4,1.3,4,5,0
ant,MIAWAK2H,4992,21,4,0,1.4,1.3,4,5,62
ant,W2UEZT8T,4992,21,4,0,1.4,1.3,4,5,125
ant,NDNJFSF0,4992,21,4,0,1.4,1.3,4,5,187
ant,FRD3O011,4992,21,4,0,1.4,1.3,4,5,250
ant,IPH00ET1,4992,21,4,0,1.4,1.3,8,5,0
ant,5VQMSHXI,4992,21,4,0,1.4,1.3,8,5,62
ant,LK8H20E1,4992,21,4,0,1.4,1.3,8,5,125
ant,KGCZ0880,4992,21,4,0,1.4,1.3,8,5,187
ant,F8WQ21WR,4992,21,4,0,1.4,1.3,8,5,250
ant,5K4ZWH2C,4992,21,4,0,1.4,1.3,12,5,0
ant,YPZA5TDE,4992,21,4,0,1.4,1.3,12,5,62
ant,3DC6LIWB,4992,21,4,0,1.4,1.3,12,5,125
ant,0N2699I4,4992,21,4,0,1.4,1.3,12,5,187
ant,XOK091LQ,4992,21,4,0,1.4,1.3,12,5,250
ant,0ALC09TX,4992,21,4,0,1.4,1.3,16,5,0
ant,8QLAOJLU,4992,21,4,0,1.4,1.3,16,5,62
ant,1WEGRTNB,4992,21,4,0,1.4,1.3,16,5,125
