Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead,PSNR(dB),SSIM,Cbleed,Ringing,VIF,Compression Ratio (%)
referee,4AWNEFGS,576,21,4,16,1.4,2.0,12,5,40,34.45265681983798,0.9005173444747925,102.82362454306514,21.404928963288008,6.789857882816001,86.79532110883311
referee,IAS1CXIV,576,21,4,16,1.4,0.0,16,5,40,34.445039298979324,0.900375936627388,102.402597724971,21.38676246413919,6.801718447574168,86.80713495821696
referee,CM1M5QIN,576,21,4,16,1.4,0.5,16,5,40,34.45479891460438,0.900794390141964,102.3051059871721,21.42808235046846,6.780306570414981,86.78528344547219
referee,X6L6OVPD,576,21,4,16,1.4,1.0,16,5,40,34.45765493271585,0.9007556548714638,102.03608165629812,21.43189007209839,6.778201051816104,86.80927775914854
referee,USIHXN28,576,21,4,16,1.4,1.5,16,5,40,34.46001238809367,0.9009830033779144,102.08011819782028,21.448077602916104,6.74780178508104,86.78831749988859
referee,DGS65ZCJ,576,21,4,16,1.4,2.0,16,5,40,34.45711999392651,0.900740751326084,102.55507254894864,21.4086768827452,6.784918090647446,86.81187566824259
referee,63840ZGE,1536,21,4,0,1.4,0.0,1,5,40,34.74227633326384,0.9328292807936668,93.27801455198694,21.079400558809446,4.959277253058684,83.16449979346305
referee,WBEJK6J3,1536,21,4,0,1.4,0.5,1,5,40,34.75198580203728,0.9328029716014862,93.43984947675544,21.073428430940204,4.962726123212419,83.16191452626242
referee,ZIYKN979,1536,21,4,0,1.4,1.0,1,5,40,34.75025794211728,0.932765451669693,93.42330239438655,21.065764370239418,4.962183610062629,83.15163034598018
referee,42RZIBB5,1536,21,4,0,1.4,1.5,1,5,40,34.748332398492,0.9327079993486403,93.37232889419364,21.072386818266544,4.961325739270038,83.17240729778581
referee,C1CYTF6C,1536,21,4,0,1.4,2.0,1,5,40,34.74497050075653,0.9328917872905732,93.2306660529996,21.08284502658041,4.95206371953733,83.16204726614315
referee,YQH8ER65,1536,21,4,0,1.4,0.0,4,5,40,34.78391066118165,0.9334028482437132,93.77407592592596,20.96230220227021,4.925159607224964,83.00222212881268
referee,CDVQ5I03,1536,21,4,0,1.4,0.5,4,5,40,34.7751558081215,0.9333561009168624,93.44519380184224,20.987615734009733,4.928024077052791,83.01426353227774
referee,L5CWCZZA,1536,21,4,0,1.4,1.0,4,5,40,34.78761232108908,0.9333915334939956,93.88287432725694,20.979715303691805,4.926511177607224,83.03308731155282
referee,L31NQQ0S,1536,21,4,0,1.4,1.5,4,5,40,34.77608745586909,0.9332218465209008,93.66237609592017,20.9968741171842,4.927490876022695,83.0153064884834
